Topic: test-topic-0000000-1000-5FPR4wg  TopicId: GqXYichCSZOEPoLD--xQrA PartitionCount: 1000    ReplicationFactor: 3    Configs: min.insync.replicas=2,retention.ms=86400000,message.format.version=3.0-IV1,unclean.leader.election.enable=true
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 190  Leader: 7       Replicas: 7,1,12        Isr: 7,1,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 191  Leader: 4       Replicas: 4,8,3 Isr: 4,8,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 192  Leader: 9       Replicas: 9,10,11       Isr: 9,10,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 193  Leader: 5       Replicas: 5,6,14        Isr: 5,6,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 194  Leader: 15      Replicas: 15,2,13       Isr: 15,2,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 195  Leader: 5       Replicas: 5,15,8        Isr: 5,15,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 196  Leader: 4       Replicas: 4,9,10        Isr: 4,9,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 197  Leader: 2       Replicas: 2,3,11        Isr: 2,3,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 198  Leader: 7       Replicas: 7,6,12        Isr: 7,6,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 199  Leader: 1       Replicas: 1,14,13       Isr: 1,14,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 200  Leader: 8       Replicas: 8,5,15        Isr: 8,5,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 201  Leader: 10      Replicas: 10,4,9        Isr: 10,4,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 202  Leader: 11      Replicas: 11,2,3        Isr: 11,2,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 203  Leader: 12      Replicas: 12,7,6        Isr: 12,7,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 204  Leader: 13      Replicas: 13,1,14       Isr: 13,1,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 205  Leader: 15      Replicas: 15,8,5        Isr: 15,8,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 206  Leader: 9       Replicas: 9,10,4        Isr: 9,10,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 207  Leader: 3       Replicas: 3,11,2        Isr: 3,11,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 208  Leader: 6       Replicas: 6,12,7        Isr: 6,12,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 209  Leader: 14      Replicas: 14,13,1       Isr: 14,13,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 210  Leader: 10      Replicas: 10,6,2        Isr: 10,6,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 211  Leader: 15      Replicas: 15,14,7       Isr: 15,14,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 212  Leader: 8       Replicas: 8,5,4 Isr: 8,5,4
